Chromosome	Integration site	Dataset
chr1	24937507	Lucic
chr7	98032108	Lucic
chr20	49094512	Lucic
chr1	19285100	Lucic
chr19	51613649	Lucic
chr10	2138216	Lucic
chr1	151100274	Lucic
chr9	138503862	Lucic
chr9	90591980	Lucic
chr20	18091611	Lucic
chr7	20872542	Lucic
chr17	41785783	Lucic
chr6	26111039	Lucic
chr13	28522474	Lucic
chr8	125831451	Lucic
chr19	56684588	Lucic
chr3	138719913	Lucic
chr9	90936348	Lucic
chr13	99332955	Lucic
chr22	50244336	Lucic
chr2	235136395	Lucic
chr6	24789742	Lucic
chr11	93728337	Lucic
chr15	41782050	Lucic
chr3	75429634	Lucic
chr11	125749852	Lucic
chr12	3877777	Lucic
chr2	45388175	Lucic
chr4	9747873	Lucic
chr9	126760006	Lucic
chr1	23617227	Lucic
chr2	165482389	Lucic
chr4	178645840	Lucic
chr1	44860586	Lucic
chrX	55086416	Lucic
chr6	42114513	Lucic
chr16	21835926	Lucic
chr4	67146946	Lucic
chr16	75505367	Lucic
chr10	25133067	Lucic
chr12	8093355	Lucic
chr4	164387687	Lucic
chr6	149820784	Lucic
chr5	132367439	Lucic
chr10	14822187	Lucic
chr20	24432254	Lucic
chr8	59421978	Lucic
chr16	49509158	Lucic
chr14	35204149	Lucic
chr2	229542380	Lucic
chr4	59384767	Lucic
chr8	100912211	Lucic
chr9	109872102	Lucic
chr8	4858538	Lucic
chr9	109872007	Lucic
chr12	79251573	Lucic
chr8	29428164	Lucic
chr1	13957295	Lucic
chr13	21798149	Lucic
chrX	40387293	Lucic
chr14	50337215	Lucic
chr11	122897068	Lucic
chr2	16253830	Lucic
chr7	26183901	Lucic
chr7	5903260	Lucic
chr1	46695097	Lucic
chr18	33655763	Lucic
chr11	66349375	Lucic
chr11	112500971	Lucic
chr3	129763091	Lucic
chr1	151440853	Lucic
chr20	25575110	Lucic
chr10	8126478	Lucic
chr14	99301877	Lucic
chr22	20176881	Lucic
chr13	114907548	Lucic
chr20	3815436	Lucic
chr20	35963521	Lucic
chr1	150146499	Lucic
chr9	107500046	Lucic
chr12	69833300	Lucic
chr17	30238853	Lucic
chr1	119266542	Lucic
chr5	14900052	Lucic
chr1	188047398	Lucic
chr10	105026123	Lucic
chr1	92963313	Lucic
chr7	100712953	Lucic
chr2	109029084	Lucic
chr7	83305010	Lucic
chr9	138542474	Lucic
chr16	8546884	Lucic
chr10	6457693	Lucic
chr6	168830317	Lucic
chr15	64137885	Lucic
chr12	116853536	Lucic
chrY	23493409	Lucic
chr8	6127789	Lucic
chr17	19786741	Lucic
chr17	6283376	Lucic
chr6	26072960	Lucic
chrX	82782224	Lucic
chr9	31489465	Lucic
chr22	28213504	Lucic
chr9	34939198	Lucic
chr1	234684133	Lucic
chr17	72182862	Lucic
chr3	13840749	Lucic
chr9	97420307	Lucic
chr9	84482487	Lucic
chr12	95209648	Lucic
chr19	9111618	Lucic
chr9	118631716	Lucic
chr10	92481183	Lucic
chr9	136977488	Lucic
chr18	76535487	Lucic
chr10	85742195	Lucic
chr10	25958042	Lucic
chrX	99376279	Lucic
chr2	121130747	Lucic
chr4	29431220	Lucic
chr4	29431334	Lucic
chr6	91178958	Lucic
chr10	22582456	Lucic
chr5	145918931	Lucic
chr4	92849447	Lucic
chr12	55317628	Lucic
chr15	70822641	Lucic
chr2	140949778	Lucic
chr22	41394174	Lucic
chr5	129839964	Lucic
chr20	26258040	Lucic
chrX	133151040	Lucic
chr13	25642839	Lucic
chr22	26530264	Lucic
chr9	93839106	Lucic
chr4	96732580	Lucic
chr2	64284818	Lucic
chr2	146023022	Lucic
chr6	80443254	Lucic
chr4	84686775	Lucic
chr18	66163992	Lucic
chr1	63218468	Lucic
chr11	81229724	Lucic
chr7	115357256	Lucic
chr6	52484135	Lucic
chr2	8559354	Lucic
chrY	23163098	Lucic
chr11	25719070	Lucic
chr10	85234253	Lucic
chr16	75934350	Lucic
chr11	13257789	Lucic
chr7	46889233	Lucic
chrX	44549978	Lucic
chr7	129194687	Lucic
chr4	65735553	Lucic
chr13	23596954	Lucic
chr5	23375559	Lucic
chr7	20501293	Lucic
chr4	45951186	Lucic
chr2	170289646	Lucic
chr1	4531155	Lucic
chr10	31062462	Lucic
chr20	53314430	Lucic
chr17	59619417	Lucic
chr5	41637421	Lucic
chr8	24086010	Lucic
chr3	152732046	Lucic
chr8	41060401	Lucic
chrX	117352408	Lucic
chr6	40744543	Lucic
chr10	25075498	Lucic
chr6	123474157	Lucic
chr13	106481278	Lucic
chr8	135425050	Lucic
chr10	129991091	Lucic
chr9	25609378	Lucic
chr2	2576976	Lucic
chr2	2576898	Lucic
chr2	194211828	Lucic
chrX	3356032	Lucic
chrX	5012948	Lucic
chr1	31107555	Lucic
chr2	157099012	Lucic
chr7	149855954	Lucic
chr14	29591227	Lucic
chr12	106231912	Lucic
chr6	165339578	Lucic
chr4	163559120	Lucic
chr7	49700563	Lucic
chr6	121259149	Lucic
chr5	2594739	Lucic
chr2	36375572	Lucic
chr5	50922084	Lucic
chr6	156535640	Lucic
chr5	103073025	Lucic
chr15	55172465	Lucic
chr10	132489805	Lucic
chr7	145568206	Lucic
chr10	132498274	Lucic
chr8	78690861	Lucic
chr6	104795157	Lucic
chr12	72010607	Lucic
chr6	161460480	Lucic
chr20	39712380	Lucic
chr14	92252512	Lucic
chr13	103310418	Lucic
chr20	62342370	Lucic
chr16	268494	Lucic
chr17	38002474	Lucic
chr18	66350576	Lucic
chr6	89875240	Lucic
chr1	27079135	Lucic
chr7	110615302	Lucic
chr9	132682184	Lucic
chr13	51973189	Lucic
chr8	132953863	Lucic
chr6	49424902	Lucic
chr10	88231231	Lucic
chr16	89491468	Lucic
chr3	172500832	Lucic
chr18	54483504	Lucic
chr19	34675593	Lucic
chr1	84641620	Lucic
chr12	55372902	Lucic
chr18	9228897	Lucic
chr2	26286291	Lucic
chr6	74496007	Lucic
chrX	73495121	Lucic
chr1	180466377	Lucic
chr1	78545571	Lucic
chr1	100903259	Lucic
chr6	56958946	Lucic
chr9	114985061	Lucic
chr4	103729542	Lucic
chr20	47427033	Lucic
chr10	119798909	Lucic
chr11	18716410	Lucic
chr6	96054224	Lucic
chr6	38561467	Lucic
chr14	31416222	Lucic
chr12	45212044	Lucic
chr4	147382445	Lucic
chr12	72007360	Lucic
chr3	47680063	Lucic
chr8	79453616	Lucic
chr18	9351174	Lucic
chr6	99944855	Lucic
chr7	12273843	Lucic
chrX	23693241	Lucic
chr12	7042300	Lucic
chr5	66351143	Lucic
chr7	115881821	Lucic
chr6	44391574	Lucic
chr1	234589781	Lucic
chr3	130714677	Lucic
chr2	219091996	Lucic
chr5	130638489	Lucic
chr8	71225799	Lucic
chr6	17662560	Lucic
chr1	227758442	Lucic
chr2	225417820	Lucic
chr4	70626023	Lucic
chr12	64828695	Lucic
chr9	26874691	Lucic
chr6	17609950	Lucic
chr16	15746529	Lucic
chr17	35950360	Lucic
chr17	1892337	Lucic
chr1	150198589	Lucic
chr17	35891965	Lucic
chr1	40740452	Lucic
chr8	19589484	Lucic
chr16	276677	Lucic
chr4	164056996	Lucic
chr16	68176711	Lucic
chr1	118428102	Lucic
chr1	235991160	Lucic
chr3	108568808	Lucic
chr9	33981760	Lucic
chr3	93757053	Lucic
chr4	39780683	Lucic
chr3	47718036	Lucic
chr14	52368129	Lucic
chr5	108696439	Lucic
chr12	42616023	Lucic
chr17	1730615	Lucic
chr6	38053956	Lucic
chr12	53966239	Lucic
chr6	152483664	Lucic
chr3	71389188	Lucic
chr3	11667702	Lucic
chr22	29190888	Lucic
chr6	79752720	Lucic
chr19	5631506	Lucic
chr2	162876928	Lucic
chr3	81624273	Lucic
chr12	6611959	Lucic
chr10	124189898	Lucic
chr12	123005857	Lucic
chr12	54662048	Lucic
chr13	79931383	Lucic
chr19	53190918	Lucic
chr6	149673421	Lucic
chr2	203804479	Lucic
chr2	145244120	Lucic
chr7	116779876	Lucic
chr16	88651446	Lucic
chr10	31805467	Lucic
chr11	18383472	Lucic
chr12	116480321	Lucic
chr11	82885693	Lucic
chr2	43799127	Lucic
chr11	66980181	Lucic
chr4	123247468	Lucic
chr17	7779288	Lucic
chr3	112210247	Lucic
chr5	100172964	Lucic
chr18	29611653	Lucic
chr6	83861312	Lucic
chr5	93777601	Lucic
chr2	242267654	Lucic
chr4	153431191	Lucic
chr14	53562343	Lucic
chr15	93429758	Lucic
chr17	73944271	Lucic
chr6	49420941	Lucic
chr7	44870016	Lucic
chr1	1816326	Lucic
chr12	95639924	Lucic
chr12	57071333	Lucic
chr7	139359861	Lucic
chr4	99306295	Lucic
chr2	15671607	Lucic
chr22	40312230	Lucic
chr17	79805645	Lucic
chr2	198704580	Lucic
chr9	6972801	Lucic
chrX	102933323	Lucic
chr6	116984872	Lucic
chr22	28260129	Lucic
chr7	17352508	Lucic
chr1	100863568	Lucic
chr10	101921066	Lucic
chr11	66908715	Lucic
chr8	109498762	Lucic
chr1	1787963	Lucic
chr5	56792484	Lucic
chr20	30375231	Lucic
chr17	42558728	Lucic
chr8	103228863	Lucic
chr16	78427876	Lucic
chr9	3511499	Lucic
chr1	29490215	Lucic
chr14	69539392	Lucic
chr1	70620320	Lucic
chr19	42713163	Lucic
chr3	18436659	Lucic
chr17	76061811	Lucic
chr4	1182848	Lucic
chr6	135351829	Lucic
chr13	72059228	Lucic
chr9	140639684	Lucic
chr13	26930561	Lucic
chr11	118351284	Lucic
chr4	124056119	Lucic
chr12	92885582	Lucic
chr6	36501151	Lucic
chr10	105733940	Lucic
chr15	59016659	Lucic
chr17	5304298	Lucic
chr3	108364310	Lucic
chr8	22360939	Lucic
chrX	24084241	Lucic
chr4	36323666	Lucic
chr5	21422366	Lucic
chr20	39734016	Lucic
chr1	85125049	Lucic
chr7	11165250	Lucic
chr1	155235150	Lucic
chr1	214103315	Lucic
chr19	6813508	Lucic
chr2	233654573	Lucic
chr2	55198967	Lucic
chr22	22205602	Lucic
chr8	118550359	Lucic
chr5	171514526	Lucic
chr2	240141960	Lucic
chr3	33077949	Lucic
chr1	185108570	Lucic
chr2	152316558	Lucic
chr4	68548130	Lucic
chr8	38666348	Lucic
chr5	122924867	Lucic
chr1	197685943	Lucic
chr14	81394928	Lucic
chr17	29538260	Lucic
chr2	136728083	Lucic
chr6	45459083	Lucic
chr6	5371938	Lucic
chr8	71500544	Lucic
chr11	64538209	Lucic
chr3	20142168	Lucic
chr11	65884436	Lucic
chr12	19411793	Lucic
chr17	7215886	Lucic
chr3	125264799	Lucic
chr3	93731226	Lucic
chr1	21276335	Lucic
chr15	50627132	Lucic
chr19	8523155	Lucic
chr2	168996332	Lucic
chr21	47886065	Lucic
chr4	114675141	Lucic
chr4	48113665	Lucic
chr6	159461130	Lucic
chr9	72931110	Lucic
chr9	79834796	Lucic
chr1	10154172	Lucic
chr14	93777325	Lucic
chr18	60894950	Lucic
chr4	15026238	Lucic
chr9	79874347	Lucic
chr5	60645423	Lucic
chr7	8072679	Lucic
chr4	68564365	Lucic
chr12	116597711	Lucic
chr13	44467415	Lucic
chr2	180867382	Lucic
chr2	29364789	Lucic
chr3	152065931	Lucic
chr3	171793225	Lucic
chr15	79173984	Lucic
chrX	85216140	Lucic
chr11	85712721	Lucic
chr14	96986023	Lucic
chr19	13208077	Lucic
chr20	1660616	Lucic
chr7	38787540	Lucic
chrX	44919587	Lucic
chr16	4110752	Lucic
chr17	78751222	Lucic
chr20	14194077	Lucic
chr22	36726325	Lucic
chr3	98259998	Lucic
chr12	53410657	Lucic
chr17	62513518	Lucic
chr19	41216439	Lucic
chr3	49371169	Lucic
chr4	99214998	Lucic
chr5	52368505	Lucic
chr6	36073732	Lucic
chr1	67403335	Lucic
chr11	107390896	Lucic
chr12	22669465	Lucic
chr16	487079	Lucic
chr19	48748999	Lucic
chr2	9991041	Lucic
chrX	135815255	Lucic
chr10	86117860	Lucic
chr12	51049354	Lucic
chr13	28166504	Lucic
chr2	179310169	Lucic
chr2	210564832	Lucic
chr2	232859554	Lucic
chr3	182524337	Lucic
chr7	83942963	Lucic
chr9	72904417	Lucic
chr5	147063851	Lucic
chr10	104055908	Lucic
chr13	102514197	Lucic
chr16	3921499	Lucic
chr19	12287750	Lucic
chr20	25598965	Lucic
chr4	88361045	Lucic
chr5	169694373	Lucic
chr5	37226955	Lucic
chr6	111660240	Lucic
chr13	74687621	Lucic
chr14	51110253	Lucic
chr19	45546352	Lucic
chr5	96286050	Lucic
chr12	19439596	Lucic
chr12	62722601	Lucic
chr16	2574984	Lucic
chr20	61547371	Lucic
chr14	75629170	Lucic
chr15	100380494	Lucic
chr16	30742847	Lucic
chr6	87919666	Lucic
chr9	139362106	Lucic
chr1	93657767	Lucic
chr11	62315029	Lucic
chr17	2174130	Lucic
chr17	65911209	Lucic
chr19	39330622	Lucic
chr19	50326896	Lucic
chr3	151859560	Lucic
chr3	48496106	Lucic
chr5	176607459	Lucic
chr7	74087629	Lucic
chr1	39705651	Lucic
chr1	41702318	Lucic
chr12	32354496	Lucic
chr16	67627695	Lucic
chr17	49149484	Lucic
chr3	15279843	Lucic
chr6	32946412	Lucic
chr8	52784519	Lucic
chr1	176111711	Lucic
chr11	11894145	Lucic
chr11	59409756	Lucic
chr18	29449228	Lucic
chr22	42425138	Lucic
chr3	47815024	Lucic
chr5	130848028	Lucic
chr5	141528312	Lucic
chr6	15443155	Lucic
chr6	33162475	Lucic
chr12	27156544	Lucic
chr12	49403649	Lucic
chr13	77578403	Lucic
chr15	83482270	Lucic
chr17	76039299	Lucic
chr17	7767852	Lucic
chr20	5564855	Lucic
chr4	13474104	Lucic
chr5	137205819	Lucic
chr1	218469225	Lucic
chr11	58375725	Lucic
chr12	49100253	Lucic
chr19	48737756	Lucic
chr2	39550662	Lucic
chr21	38785930	Lucic
chr4	177252112	Lucic
chr4	90222765	Lucic
chr6	114263970	Lucic
chr8	48946772	Lucic
chr1	175106473	Lucic
chr1	193135169	Lucic
chr10	97451268	Lucic
chr17	76725927	Lucic
chr2	215852610	Lucic
chr6	144779243	Lucic
chr9	2025084	Lucic
chr14	21718513	Lucic
chr14	58730732	Lucic
chr17	29589518	Lucic
chr18	56411211	Lucic
chr2	215679867	Lucic
chr21	38795389	Lucic
chr8	90775336	Lucic
chrX	41008283	Lucic
chr1	197739572	Lucic
chr15	101120019	Lucic
chr18	43469720	Lucic
chr18	48430635	Lucic
chr18	48579817	Lucic
chr20	1356007	Lucic
chr20	39726602	Lucic
chr21	40614789	Lucic
chr3	152000419	Lucic
chr4	106342805	Lucic
chr4	183192817	Lucic
chr6	126135104	Lucic
chr6	30835354	Lucic
chr1	222852664	Lucic
chr12	19410946	Lucic
chr12	48060717	Lucic
chr15	93500865	Lucic
chr16	89483659	Lucic
chr4	108985031	Lucic
chr4	143322877	Lucic
chr5	164213511	Lucic
chr9	134057660	Lucic
chrX	135265957	Lucic
chrX	41205161	Lucic
chr1	84614184	Lucic
chr17	78715115	Lucic
chr19	38897872	Lucic
chr6	80851359	Lucic
chr1	32507092	Lucic
chr1	42750127	Lucic
chr10	65219938	Lucic
chr14	66096230	Lucic
chr16	15775552	Lucic
chr16	28132441	Lucic
chr2	37319103	Lucic
chr21	47886875	Lucic
chr6	99961532	Lucic
chrX	40951370	Lucic
chr11	108106367	Lucic
chr13	50086026	Lucic
chr15	90769964	Lucic
chr16	270123	Lucic
chr16	79008032	Lucic
chr17	74773115	Lucic
chr17	7782796	Lucic
chr19	1119834	Lucic
chr2	144215613	Lucic
chr20	8019277	Lucic
chr22	28333747	Lucic
chr3	109053017	Lucic
chr3	51590451	Lucic
chr4	147439784	Lucic
chr11	107898753	Lucic
chr11	63629191	Lucic
chr11	67004260	Lucic
chr14	35252028	Lucic
chr15	76181806	Lucic
chr20	32080716	Lucic
chr20	39715904	Lucic
chr22	19066293	Lucic
chr3	77393920	Lucic
chr4	113106314	Lucic
chr4	90222860	Lucic
chr5	162936921	Lucic
chr5	96290851	Lucic
chr7	20350172	Lucic
chr1	212524558	Lucic
chr1	235418357	Lucic
chr16	58613483	Lucic
chr17	28067463	Lucic
chr17	28255204	Lucic
chr17	44224867	Lucic
